maritime_track_id,grid_square,zone_status,ais_corroborated
MAR-000001,H2,normal,True
MAR-000002,H5,exclusion_breach,True
MAR-000003,F5,normal,True
MAR-000004,B3,advisory,True
MAR-000005,F5,advisory,True
MAR-000006,G5,normal,False
MAR-000007,H4,exclusion_breach,True
MAR-000008,D2,exclusion_breach,True
MAR-000009,C6,advisory,True
MAR-000010,A8,normal,True
MAR-000011,D1,normal,False
MAR-000012,B8,advisory,True
MAR-000013,B7,advisory,True
MAR-000014,E6,normal,True
MAR-000015,D8,normal,True
MAR-000016,A1,advisory,False
MAR-000017,F2,normal,True
MAR-000018,C5,advisory,False
MAR-000019,H1,normal,True
MAR-000020,F1,normal,True
MAR-000021,G7,normal,True
MAR-000022,B8,normal,True
MAR-000023,H4,advisory,True
MAR-000024,E5,normal,True
MAR-000025,H7,advisory,True
MAR-000026,F8,normal,True
MAR-000027,F8,normal,False
MAR-000028,A4,normal,False
MAR-000029,E5,advisory,True
MAR-000030,D1,normal,False
MAR-000031,D8,exclusion_breach,True
MAR-000032,F3,advisory,False
MAR-000033,A1,normal,True
MAR-000034,B3,normal,True
MAR-000035,D4,normal,True
MAR-000036,C8,exclusion_breach,True
MAR-000037,G4,advisory,True
MAR-000038,D8,exclusion_breach,True
MAR-000039,A2,exclusion_breach,True
MAR-000040,H6,normal,False
MAR-000041,F8,normal,False
MAR-000042,F4,normal,True
MAR-000043,D3,normal,True
MAR-000044,C5,normal,False
MAR-000045,D7,advisory,True
MAR-000046,A3,normal,True
MAR-000047,F7,exclusion_breach,False
MAR-000048,F3,advisory,True
MAR-000049,A8,advisory,True
MAR-000050,C6,advisory,True
MAR-000051,C8,exclusion_breach,True
MAR-000052,E6,normal,True
MAR-000053,D3,normal,True
MAR-000054,C1,exclusion_breach,False
MAR-000055,H4,normal,False
MAR-000056,D2,normal,True
MAR-000057,A3,exclusion_breach,False
MAR-000058,G4,exclusion_breach,True
MAR-000059,C4,normal,True
MAR-000060,A7,normal,True
MAR-000061,B1,advisory,False
MAR-000062,E8,advisory,True
MAR-000063,G5,normal,True
MAR-000064,G7,exclusion_breach,False
MAR-000065,A3,normal,True
MAR-000066,H4,normal,True
MAR-000067,E7,advisory,False
